id,occ_title,a_mean,is_selected,last_updated
127,"Mental Health and Substance Abuse Social Workers","57,800",0,NULL
128,"Physical Scientists, All Other","113,220",0,NULL
129,"Social Workers, All Other","63,010",0,NULL
130,"Budget Analysts","84,240",0,NULL
131,"Computer Science Teachers, Postsecondary","89,610",0,NULL
132,"Miscellaneous Social Scientists and Related Workers","89,840",0,NULL
133,"Social Scientists and Related Workers","90,810",0,NULL
134,"Miscellaneous Community and Social Service Specialists","47,380",0,NULL
135,"Art, Drama, and Music Teachers, Postsecondary","86,240",0,NULL
136,"Directors, Religious Activities and Education","52,880",0,NULL
137,Economists,"120,830",0,NULL
138,"Mathematical Science Teachers, Postsecondary","87,980",0,NULL
139,"Anthropologists and Archeologists","66,800",0,NULL
140,"Communications Teachers, Postsecondary","84,580",0,NULL
141,"Financial Examiners","96,180",0,NULL
142,"Directors, Religious Activities and Education","52,880",0,NULL
143,"Family and Consumer Sciences Teachers, Postsecondary","93,230",0,NULL
144,"Engineering and Architecture Teachers, Postsecondary","113,150",0,NULL
145,"Social Scientists and Related Workers, All Other","90,900",0,NULL
146,Geographers,"86,740",0,NULL
147,"Forest and Conservation Technicians","43,420",0,NULL
148,"Lawyers, Judges, and Related Workers","144,470",0,NULL
149,"English Language and Literature Teachers, Postsecondary","82,680",0,NULL
150,"Recreation and Fitness Studies Teachers, Postsecondary","79,080",0,NULL
151,"Foreign Language and Literature Teachers, Postsecondary","82,990",0,NULL
152,"Financial Examiners","96,180",0,NULL
153,"Forest and Conservation Technicians","43,420",0,NULL
154,"Miscellaneous Religious Workers","43,290",0,NULL
155,"Life, Physical, and Social Science Technicians","53,890",0,NULL
156,"Insurance Underwriters","79,940",0,NULL
157,"Agricultural Sciences Teachers, Postsecondary","97,520",0,NULL
158,"Architecture Teachers, Postsecondary","98,600",0,NULL
159,"Lawyers and Judicial Law Clerks","146,220",0,NULL
160,"Career/Technical Education Teachers, Postsecondary","63,130",0,NULL
161,Historians,"72,130",0,NULL
162,Lawyers,"148,030",0,NULL
163,"History Teachers, Postsecondary","86,460",0,NULL
164,"Biological Science Teachers, Postsecondary","98,710",0,NULL
165,"Postsecondary Teachers, All Other","92,200",0,NULL
166,"Religious Workers, All Other","43,290",0,NULL
167,"Credit Counselors and Loan Officers","78,040",0,NULL
168,"Engineering Teachers, Postsecondary","115,590",0,NULL
169,"Miscellaneous Life, Physical, and Social Science Technicians","57,880",0,NULL
170,"Financial Risk Specialists","110,610",0,NULL
171,"Agricultural and Food Science Technicians","46,240",0,NULL
172,"Forestry and Conservation Science Teachers, Postsecondary","93,510",0,NULL
173,"Philosophy and Religion Teachers, Postsecondary","88,260",0,NULL
174,"Judicial Law Clerks","62,730",0,NULL
175,"Legal Occupations","113,100",0,NULL
176,"Agricultural Technicians","44,850",0,NULL
177,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","64,870",0,NULL
178,"Credit Counselors","50,430",0,NULL
179,"Life Sciences Teachers, Postsecondary","98,430",0,NULL
180,"Forensic Science Technicians","66,850",0,NULL
181,"Political Scientists","120,430",0,NULL
182,"Judges, Magistrates, and Other Judicial Workers","119,690",0,NULL
183,"Miscellaneous Postsecondary Teachers","82,100",0,NULL
184,"Physical Sciences Teachers, Postsecondary","97,110",0,NULL
185,"Food Science Technicians","47,870",0,NULL
186,"Preschool and Kindergarten Teachers","43,060",0,NULL
187,"Loan Officers","80,570",0,NULL
188,"Life, Physical, and Social Science Technicians, All Other","55,420",0,NULL
189,"Administrative Law Judges, Adjudicators, and Hearing Officers","104,160",0,NULL
190,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","102,840",0,NULL
191,"Preschool Teachers, Except Special Education","36,460",0,NULL
192,"Arbitrators, Mediators, and Conciliators","62,350",0,NULL
193,"Chemistry Teachers, Postsecondary","94,060",0,NULL
194,"Hydrologic Technicians","71,760",0,NULL
195,"Biological Technicians","51,770",0,NULL
196,"Educational Instruction and Library Occupations","62,140",0,NULL
197,"Occupational Health and Safety Specialists and Technicians","75,150",0,NULL
198,"Occupational Health and Safety Technicians","57,560",0,NULL
199,"Judges, Magistrate Judges, and Magistrates","142,520",0,NULL
200,"Middle School Teachers, Except Special and Career/Technical Education","66,880",0,NULL
201,"Kindergarten Teachers, Except Special Education","64,490",0,NULL
202,"Anthropology and Archeology Teachers, Postsecondary","102,110",0,NULL
203,"Career/Technical Education Teachers, Middle School","69,410",0,NULL
204,"Biological Technicians","51,770",0,NULL
205,"Library Science Teachers, Postsecondary","80,850",0,NULL
206,"Environmental Science Teachers, Postsecondary","92,210",0,NULL
207,"Community and Social Service Occupations","53,960",0,NULL
208,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","91,680",0,NULL
209,"Legal Support Workers","59,190",0,NULL
210,"Nuclear Technicians","95,200",0,NULL
211,"Occupational Health and Safety Specialists and Technicians","75,150",0,NULL
212,"Postsecondary Teachers","95,200",0,NULL
213,"Chemical Technicians","55,040",0,NULL
214,"Secondary School Teachers","69,490",0,NULL
215,"Law, Criminal Justice, and Social Work Teachers, Postsecondary","97,720",0,NULL
216,"Elementary and Middle School Teachers","67,030",0,NULL
217,"Economics Teachers, Postsecondary","124,090",0,NULL
218,"Physics Teachers, Postsecondary","99,480",0,NULL
219,"Nuclear Technicians","95,200",0,NULL
220,"Elementary School Teachers, Except Special Education","67,080",0,NULL
221,"Counselors, Social Workers, and Other Community and Social Service Specialists","53,950",0,NULL
222,"Business Teachers, Postsecondary","105,720",0,NULL
223,"Secondary School Teachers, Except Special and Career/Technical Education","69,530",0,NULL
224,"Geography Teachers, Postsecondary","88,150",0,NULL
225,"Social Science Research Assistants","56,430",0,NULL
226,Counselors,"56,410",0,NULL
227,"Criminal Justice and Law Enforcement Teachers, Postsecondary","81,730",0,NULL
228,"Career/Technical Education Teachers, Secondary School","68,960",0,NULL
229,"Occupational Health and Safety Specialists","78,740",0,NULL
230,"Business Teachers, Postsecondary","105,720",0,NULL
231,"Social Sciences Teachers, Postsecondary","94,340",0,NULL
232,"Political Science Teachers, Postsecondary","98,980",0,NULL
233,"Social Science Research Assistants","56,430",0,NULL
234,"Paralegals and Legal Assistants","58,330",0,NULL
235,"Law Teachers, Postsecondary","130,820",0,NULL
236,"Chemical Technicians","55,040",0,NULL
237,"Educational, Guidance, and Career Counselors and Advisors","63,090",0,NULL
238,"Special Education Teachers","68,880",0,NULL
239,"Health Specialties Teachers, Postsecondary","133,310",0,NULL
240,"Psychology Teachers, Postsecondary","88,390",0,NULL
241,"Paralegals and Legal Assistants","58,330",0,NULL
242,"Environmental Science and Geoscience Technicians","53,830",0,NULL
243,"Marriage and Family Therapists","59,660",0,NULL
244,"Special Education Teachers, Preschool","71,970",0,NULL
245,"Nursing Instructors and Teachers, Postsecondary","82,040",0,NULL
246,"Rehabilitation Counselors","44,740",0,NULL
247,"Miscellaneous Legal Support Workers","62,170",0,NULL
248,"Sociology Teachers, Postsecondary","87,850",0,NULL
249,"Environmental Science and Protection Technicians, Including Health","50,550",0,NULL
250,"Social Sciences Teachers, Postsecondary, All Other","87,320",0,NULL
251,"Title Examiners, Abstractors, and Searchers","52,390",0,NULL
252,"Special Education Teachers, Kindergarten and Elementary School","67,090",0,NULL
253,"Education and Library Science Teachers, Postsecondary","77,260",0,NULL
254,"Health Teachers, Postsecondary","119,880",0,NULL
255,"Geological Technicians, Except Hydrologic Technicians","59,080",0,NULL
256,"Special Education Teachers, Middle School","68,860",0,NULL
257,"Education Teachers, Postsecondary","76,990",0,NULL
258,Curators,"63,880",0,NULL
259,"Legal Support Workers, All Other","73,000",0,NULL
260,"Special Education Teachers, Secondary School","70,100",0,NULL
261,"Entertainers and Performers, Sports and Related Workers","71,870",0,NULL
262,"Teaching Assistants","32,640",0,NULL
263,"Athletes and Sports Competitors","116,930",0,NULL
264,"Actors, Producers, and Directors","95,360",0,NULL
265,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","60,650",0,NULL
266,"Special Education Teachers, All Other","71,330",0,NULL
267,"Library Technicians","39,070",0,NULL
268,"Museum Technicians and Conservators","52,030",0,NULL
269,"Healthcare Diagnosing or Treating Practitioners","112,160",0,NULL
270,"Physical Therapists","92,920",0,NULL
271,"Film and Video Editors","76,000",0,NULL
272,"Arts, Design, Entertainment, Sports, and Media Occupations","66,100",0,NULL
273,Podiatrists,"158,380",0,NULL
274,"Coaches and Scouts","50,550",0,NULL
275,"Self-Enrichment Teachers","49,230",0,NULL
276,"Teaching Assistants, Postsecondary","41,170",0,NULL
277,Chiropractors,"81,240",0,NULL
278,Actors,*,0,NULL
279,"Radiation Therapists","94,000",0,NULL
280,"Other Teachers and Instructors","46,490",0,NULL
281,"Art and Design Workers","58,910",0,NULL
282,"Umpires, Referees, and Other Sports Officials","51,710",0,NULL
283,Podiatrists,"158,380",0,NULL
284,Chiropractors,"81,240",0,NULL
285,"Miscellaneous Media and Communication Equipment Workers","69,290",0,NULL
286,"Library Technicians","39,070",0,NULL
287,"Recreational Therapists","53,900",0,NULL
288,"Producers and Directors","101,950",0,NULL
289,"Self-Enrichment Teachers","49,230",0,NULL
290,"Teaching Assistants, Except Postsecondary","31,760",0,NULL
291,"Dancers and Choreographers","50,280",0,NULL
292,"Librarians and Media Collections Specialists","64,180",0,NULL
293,"Artists and Related Workers","95,330",0,NULL
294,"Other Educational Instruction and Library Occupations","38,620",0,NULL
295,Dentists,"177,770",0,NULL
296,"Respiratory Therapists","68,190",0,NULL
297,"Art Directors","115,430",0,NULL
298,Dancers,*,0,NULL
299,"Substitute Teachers, Short-Term","38,410",0,NULL
300,"Farm and Home Management Educators","58,040",0,NULL
301,"Dentists, General","167,160",0,NULL
302,"Media and Communication Equipment Workers, All Other","69,290",0,NULL
303,Choreographers,"49,630",0,NULL
304,Therapists,"84,080",0,NULL
305,"Craft Artists","40,730",0,NULL
306,"Speech-Language Pathologists","85,820",0,NULL
307,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","60,650",0,NULL
308,"Substitute Teachers, Short-Term","38,410",0,NULL
309,"Athletes, Coaches, Umpires, and Related Workers","54,390",0,NULL
310,"Farm and Home Management Educators","58,040",0,NULL
311,"Miscellaneous Educational Instruction and Library Workers","49,650",0,NULL
312,"Musicians, Singers, and Related Workers",*,0,NULL
313,"Oral and Maxillofacial Surgeons","311,460",0,NULL
314,"Librarians and Media Collections Specialists","64,180",0,NULL
315,"All Occupations","58,260",0,NULL
316,"Healthcare Practitioners and Technical Occupations","91,100",0,NULL
317,"Instructional Coordinators","70,560",0,NULL
318,"Occupational Therapists","89,470",0,NULL
319,"Educational Instruction and Library Workers, All Other","49,650",0,NULL
320,"Fine Artists, Including Painters, Sculptors, and Illustrators","69,010",0,NULL
321,"Music Directors and Composers","65,080",0,NULL
322,"Instructional Coordinators","70,560",0,NULL
323,Veterinarians,"109,920",0,NULL
324,Tutors,"41,780",0,NULL
325,"Entertainers and Performers, Sports and Related Workers, All Other",*,0,NULL
326,Veterinarians,"109,920",0,NULL
327,"Musicians and Singers",*,0,NULL
328,"Clinical Laboratory Technologists and Technicians","56,910",0,NULL
329,"Registered Nurses","82,750",0,NULL
330,"Media and Communication Workers","71,760",0,NULL
331,"Registered Nurses","82,750",0,NULL
332,"Diagnostic Related Technologists and Technicians","70,780",0,NULL
333,"Cardiovascular Technologists and Technicians","62,020",0,NULL
334,Pharmacists,"125,690",0,NULL
335,"Special Effects Artists and Animators","86,220",0,NULL
336,"Diagnostic Medical Sonographers","80,680",0,NULL
337,"Archivists, Curators, and Museum Technicians","58,830",0,NULL
338,"Tax Examiners, Collectors and Preparers, and Revenue Agents","55,750",0,NULL
339,Pharmacists,"125,690",0,NULL
340,Orthodontists,"267,280",0,NULL
341,"Nuclear Medicine Technologists","84,850",0,NULL
342,"Artists and Related Workers, All Other","67,240",0,NULL
343,"Radiologic Technologists and Technicians","66,490",0,NULL
344,"Merchandise Displayers and Window Trimmers","35,520",0,NULL
345,"Exercise Physiologists","54,030",0,NULL
346,"Physician Assistants","119,460",0,NULL
347,"Miscellaneous Entertainers and Performers, Sports and Related Workers",*,0,NULL
348,"Magnetic Resonance Imaging Technologists","77,820",0,NULL
349,"Nurse Anesthetists","202,470",0,NULL
350,"Therapists, All Other","65,030",0,NULL
351,"Set and Exhibit Designers","62,960",0,NULL
352,"Medical Dosimetrists","124,750",0,NULL
