id,occ_title,a_mean,is_selected,last_updated
521,"Private Detectives and Investigators","60,970",0,NULL
522,"Athletic Trainers","54,650",0,NULL
523,"Animal Care and Service Workers","30,100",0,NULL
524,"Miscellaneous Protective Service Workers","35,450",0,NULL
525,"First-Line Supervisors of Police and Detectives","98,760",0,NULL
526,"Gambling Dealers","28,960",0,NULL
527,"Fast Food and Counter Workers","26,060",0,NULL
528,"Crossing Guards and Flaggers","35,670",0,NULL
529,"Hearing Aid Specialists","59,960",0,NULL
530,"Genetic Counselors","86,640",0,NULL
531,"Surgical Assistants","59,170",0,NULL
532,"First-Line Supervisors of Firefighting and Prevention Workers","83,270",0,NULL
533,"Gambling and Sports Book Writers and Runners","29,110",0,NULL
534,"Private Detectives and Investigators","60,970",0,NULL
535,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","27,320",0,NULL
536,"Healthcare Practitioners and Technical Workers, All Other","64,880",0,NULL
537,"Animal Trainers","38,230",0,NULL
538,"Gambling Service Workers, All Other","31,790",0,NULL
539,"Fast Food and Counter Workers","26,060",0,NULL
540,"Transportation Security Screeners","46,380",0,NULL
541,"Health Technologists and Technicians, All Other","49,230",0,NULL
542,"Healthcare Support Occupations","33,330",0,NULL
543,"Motion Picture Projectionists","32,970",0,NULL
544,"Animal Trainers","38,230",0,NULL
545,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides","30,440",0,NULL
546,"School Bus Monitors","30,220",0,NULL
547,"Other Healthcare Practitioners and Technical Occupations","61,470",0,NULL
548,"Motion Picture Projectionists","32,970",0,NULL
549,"First-Line Supervisors of Food Preparation and Serving Workers","39,150",0,NULL
550,"Ushers, Lobby Attendants, and Ticket Takers","26,390",0,NULL
551,"Security Guards and Gambling Surveillance Officers","35,860",0,NULL
552,"Protective Service Workers, All Other","42,160",0,NULL
553,"Animal Caretakers","29,520",0,NULL
554,"Food Preparation and Serving Related Occupations","29,450",0,NULL
555,"Home Health and Personal Care Aides","29,260",0,NULL
556,"Cooks and Food Preparation Workers","29,380",0,NULL
557,"Home Health and Personal Care Aides","29,260",0,NULL
558,"Health Information Technologists and Medical Registrars","61,410",0,NULL
559,"Ushers, Lobby Attendants, and Ticket Takers","26,390",0,NULL
560,"Supervisors of Food Preparation and Serving Workers","41,130",0,NULL
561,"Gambling Surveillance Officers and Gambling Investigators","38,080",0,NULL
562,"Nursing Assistants, Orderlies, and Psychiatric Aides","33,290",0,NULL
563,"Animal Caretakers","29,520",0,NULL
564,"Miscellaneous Entertainment Attendants and Related Workers","26,650",0,NULL
565,"Health Information Technologists and Medical Registrars","61,410",0,NULL
566,"Supervisors of Food Preparation and Serving Workers","41,130",0,NULL
567,"Nursing Assistants","33,250",0,NULL
568,"Security Guards","35,830",0,NULL
569,"Amusement and Recreation Attendants","26,110",0,NULL
570,Orderlies,"33,440",0,NULL
571,"Chefs and Head Cooks","56,920",0,NULL
572,"Morticians, Undertakers, and Funeral Arrangers","56,360",0,NULL
573,"Costume Attendants","54,590",0,NULL
574,"Communications Equipment Operators","35,310",0,NULL
575,"Entertainment Attendants and Related Workers, All Other","29,680",0,NULL
576,"Food Preparation Workers","28,810",0,NULL
577,"Locker Room, Coatroom, and Dressing Room Attendants","30,220",0,NULL
578,"Physical Therapist Assistants and Aides","51,280",0,NULL
579,"Funeral Service Workers","42,800",0,NULL
580,Cashiers,"26,780",0,NULL
581,Cooks,"29,560",0,NULL
582,"Morticians, Undertakers, and Funeral Arrangers","56,360",0,NULL
583,"Switchboard Operators, Including Answering Service","34,590",0,NULL
584,"Cooks, Fast Food","25,490",0,NULL
585,"Physical Therapist Assistants","60,740",0,NULL
586,"Cooks, Institution and Cafeteria","31,520",0,NULL
587,"Personal Appearance Workers","35,350",0,NULL
588,Cashiers,"26,770",0,NULL
589,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","34,970",0,NULL
590,"Barbers, Hairdressers, Hairstylists and Cosmetologists","35,980",0,NULL
591,"Embalmers and Crematory Operators","47,350",0,NULL
592,"Switchboard Operators, Including Answering Service","34,590",0,NULL
593,"Supervisors of Sales Workers","54,880",0,NULL
594,Barbers,"35,700",0,NULL
595,"Gambling Change Persons and Booth Cashiers","29,130",0,NULL
596,"Cooks, Private Household","43,260",0,NULL
597,"Hairdressers, Hairstylists, and Cosmetologists","35,990",0,NULL
598,"Sales and Related Workers, All Other","38,840",0,NULL
599,"Physical Therapist Aides","30,370",0,NULL
600,"Telephone Operators","39,370",0,NULL
601,"First-Line Supervisors of Sales Workers","54,880",0,NULL
602,"Miscellaneous Personal Appearance Workers","34,310",0,NULL
603,Embalmers,"51,210",0,NULL
604,"Counter and Rental Clerks and Parts Salespersons","36,480",0,NULL
605,"Office and Administrative Support Occupations","43,430",0,NULL
606,"Telephone Operators","39,370",0,NULL
607,"Cooks, Restaurant","31,630",0,NULL
608,"Makeup Artists, Theatrical and Performance","124,380",0,NULL
609,"Other Healthcare Support Occupations","39,360",0,NULL
610,"Occupational Therapy Assistants","63,560",0,NULL
611,"Manicurists and Pedicurists","30,480",0,NULL
612,"Counter and Rental Clerks","36,170",0,NULL
613,"First-Line Supervisors of Retail Sales Workers","46,890",0,NULL
614,Shampooers,"25,160",0,NULL
615,"Crematory Operators","39,660",0,NULL
616,"Miscellaneous Communications Equipment Operators","49,470",0,NULL
617,"Supervisors of Office and Administrative Support Workers","63,380",0,NULL
618,"Food Preparation Workers","28,810",0,NULL
619,"Massage Therapists","49,260",0,NULL
620,"Skincare Specialists","41,700",0,NULL
621,"Parts Salespersons","36,920",0,NULL
622,"Communications Equipment Operators, All Other","49,470",0,NULL
623,"Food and Beverage Serving Workers","27,520",0,NULL
624,"Baggage Porters, Bellhops, and Concierges","34,680",0,NULL
625,"Funeral Attendants","31,630",0,NULL
626,"Retail Salespersons","31,920",0,NULL
627,"Occupational Therapy Aides","39,230",0,NULL
628,"Cooks, Short Order","28,110",0,NULL
629,"First-Line Supervisors of Non-Retail Sales Workers","92,320",0,NULL
630,"First-Line Supervisors of Office and Administrative Support Workers","63,380",0,NULL
631,"Funeral Attendants","31,630",0,NULL
632,"Baggage Porters, Bellhops, and Concierges","34,680",0,NULL
633,"First-Line Supervisors of Office and Administrative Support Workers","63,380",0,NULL
634,"Financial Clerks","43,340",0,NULL
635,"Cooks, All Other","33,390",0,NULL
636,Bartenders,"30,340",0,NULL
637,"Retail Sales Workers","30,060",0,NULL
638,"Massage Therapists","49,260",0,NULL
639,"Baggage Porters and Bellhops","30,040",0,NULL
640,"Exercise Trainers and Group Fitness Instructors","45,870",0,NULL
641,"Bill and Account Collectors","41,280",0,NULL
642,"Real Estate Brokers","86,490",0,NULL
643,Concierges,"37,520",0,NULL
644,"Psychiatric Aides","34,640",0,NULL
645,"Recreation Workers","32,020",0,NULL
646,"Retail Salespersons","31,920",0,NULL
647,"Real Estate Sales Agents","61,480",0,NULL
648,"Tour and Travel Guides","33,200",0,NULL
649,"Sales Engineers","118,630",0,NULL
650,"Bill and Account Collectors","41,280",0,NULL
651,"Residential Advisors","34,950",0,NULL
652,"Occupational Therapy and Physical Therapist Assistants and Aides","53,900",0,NULL
653,"Tour and Travel Guides","33,200",0,NULL
654,"Sales Engineers","118,630",0,NULL
655,"Sales Representatives, Services","74,770",0,NULL
656,"Residential Advisors","34,950",0,NULL
657,"Occupational Therapy Assistants and Aides","61,760",0,NULL
658,"Other Sales and Related Workers","53,580",0,NULL
659,"Miscellaneous Healthcare Support Occupations","38,860",0,NULL
660,Telemarketers,"30,670",0,NULL
661,"Tour and Travel Guides","33,200",0,NULL
662,"Miscellaneous Personal Care and Service Workers","30,790",0,NULL
663,Telemarketers,"30,670",0,NULL
664,"Billing and Posting Clerks","42,750",0,NULL
665,"Personal Care and Service Workers, All Other","30,790",0,NULL
666,"Advertising Sales Agents","66,540",0,NULL
667,"Miscellaneous Sales and Related Workers","38,720",0,NULL
668,"Sales and Related Occupations","46,080",0,NULL
669,"Models, Demonstrators, and Product Promoters","39,550",0,NULL
670,"Medical Equipment Preparers","42,420",0,NULL
671,"Dental Assistants","42,510",0,NULL
672,"Gambling Cage Workers","30,770",0,NULL
673,"Other Personal Care and Service Workers","33,260",0,NULL
674,"Medical Transcriptionists","34,220",0,NULL
675,"Gambling Cage Workers","30,770",0,NULL
676,"Billing and Posting Clerks","42,750",0,NULL
677,"Pharmacy Aides","34,560",0,NULL
678,"Medical Assistants","38,190",0,NULL
679,"Advertising Sales Agents","66,540",0,NULL
680,Tellers,"34,930",0,NULL
681,"Demonstrators and Product Promoters","36,990",0,NULL
682,"Insurance Sales Agents","69,340",0,NULL
683,"Childcare Workers","27,680",0,NULL
684,"Miscellaneous Sales Representatives, Services","71,110",0,NULL
685,"Bookkeeping, Accounting, and Auditing Clerks","45,140",0,NULL
686,"Veterinary Assistants and Laboratory Animal Caretakers","31,780",0,NULL
687,"Loan Interviewers and Clerks","44,910",0,NULL
688,"Payroll and Timekeeping Clerks","49,560",0,NULL
689,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","71,110",0,NULL
690,"Insurance Sales Agents","69,340",0,NULL
691,Tellers,"34,930",0,NULL
692,"Payroll and Timekeeping Clerks","49,560",0,NULL
693,Models,*,0,NULL
694,"Loan Interviewers and Clerks","44,910",0,NULL
695,"Bookkeeping, Accounting, and Auditing Clerks","45,140",0,NULL
696,"Securities, Commodities, and Financial Services Sales Agents","93,260",0,NULL
697,"Childcare Workers","27,680",0,NULL
698,"Miscellaneous Financial Clerks","47,830",0,NULL
699,"Real Estate Brokers and Sales Agents","66,880",0,NULL
700,"Recreation and Fitness Workers","38,340",0,NULL
701,"Securities, Commodities, and Financial Services Sales Agents","93,260",0,NULL
702,"New Accounts Clerks","41,250",0,NULL
703,"Financial Clerks, All Other","47,830",0,NULL
704,"Log Graders and Scalers","41,520",0,NULL
705,"Procurement Clerks","44,930",0,NULL
706,"Human Resources Assistants, Except Payroll and Timekeeping","44,840",0,NULL
707,"Travel Agents","46,580",0,NULL
708,"Hotel, Motel, and Resort Desk Clerks","28,040",0,NULL
709,"New Accounts Clerks","41,250",0,NULL
710,"Correspondence Clerks","41,710",0,NULL
711,"Procurement Clerks","44,930",0,NULL
712,"Meter Readers, Utilities","47,430",0,NULL
713,"Information and Record Clerks","38,670",0,NULL
714,"Receptionists and Information Clerks","32,910",0,NULL
715,"Logging Workers, All Other","45,430",0,NULL
716,"Travel Agents","46,580",0,NULL
717,"Postal Service Workers","53,480",0,NULL
718,"Sales Representatives, Wholesale and Manufacturing","77,750",0,NULL
719,"Court, Municipal, and License Clerks","44,870",0,NULL
720,"Construction and Extraction Occupations","55,900",0,NULL
721,"Supervisors of Farming, Fishing, and Forestry Workers","54,450",0,NULL
722,"Interviewers, Except Eligibility and Loan","38,840",0,NULL
723,"Postal Service Clerks","53,210",0,NULL
724,"Receptionists and Information Clerks","32,910",0,NULL
725,"Supervisors of Construction and Extraction Workers","75,060",0,NULL
726,"Court, Municipal, and License Clerks","44,870",0,NULL
727,"Brokerage Clerks","57,710",0,NULL
728,"Interviewers, Except Eligibility and Loan","38,840",0,NULL
729,"Order Clerks","41,820",0,NULL
730,"Postal Service Mail Carriers","54,370",0,NULL
731,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","54,450",0,NULL
732,"Sales Representatives, Wholesale and Manufacturing","77,750",0,NULL
733,"First-Line Supervisors of Construction Trades and Extraction Workers","75,060",0,NULL
734,"File Clerks","36,820",0,NULL
735,"Reservation and Transportation Ticket Agents and Travel Clerks","45,630",0,NULL
736,"Order Clerks","41,820",0,NULL
737,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","51,010",0,NULL
738,"Library Assistants, Clerical","32,490",0,NULL
739,"Logging Workers","45,000",0,NULL
740,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","54,450",0,NULL
741,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","102,750",0,NULL
742,"First-Line Supervisors of Construction Trades and Extraction Workers","75,060",0,NULL
743,"Dispatchers, Except Police, Fire, and Ambulance","46,650",0,NULL
744,"Reservation and Transportation Ticket Agents and Travel Clerks","45,630",0,NULL
745,"Production, Planning, and Expediting Clerks","52,220",0,NULL
746,Fallers,"53,760",0,NULL
747,"Credit Authorizers, Checkers, and Clerks","44,540",0,NULL
748,"Brokerage Clerks","57,710",0,NULL
749,"Construction Trades Workers","54,140",0,NULL
750,"Library Assistants, Clerical","32,490",0,NULL
751,"File Clerks","36,820",0,NULL
752,"Agricultural Workers","32,450",0,NULL
753,"Human Resources Assistants, Except Payroll and Timekeeping","44,840",0,NULL
754,"Production, Planning, and Expediting Clerks","52,220",0,NULL
755,"Meter Readers, Utilities","47,430",0,NULL
756,Boilermakers,"69,070",0,NULL
757,Boilermakers,"69,070",0,NULL
758,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","72,390",0,NULL
759,"Logging Equipment Operators","43,960",0,NULL
760,"Miscellaneous Information and Record Clerks","43,950",0,NULL
761,"Brickmasons, Blockmasons, and Stonemasons","59,870",0,NULL
762,"Hotel, Motel, and Resort Desk Clerks","28,040",0,NULL
763,"Correspondence Clerks","41,710",0,NULL
764,Pipelayers,"48,510",0,NULL
765,"Credit Authorizers, Checkers, and Clerks","44,540",0,NULL
766,"Brickmasons and Blockmasons","61,430",0,NULL
767,"Cargo and Freight Agents","48,420",0,NULL
768,"Plumbers, Pipefitters, and Steamfitters","63,350",0,NULL
769,"Farmworkers, Farm, Ranch, and Aquacultural Animals","32,150",0,NULL
770,Stonemasons,"50,170",0,NULL
771,"Couriers and Messengers","34,270",0,NULL
772,"Agricultural Workers, All Other","37,190",0,NULL
773,"Agricultural Inspectors","47,430",0,NULL
774,"Couriers and Messengers","34,270",0,NULL
775,"Information and Record Clerks, All Other","43,950",0,NULL
776,"Forest, Conservation, and Logging Workers","43,320",0,NULL
777,"Plasterers and Stucco Masons","54,810",0,NULL
778,Dispatchers,"46,780",0,NULL
779,Carpenters,"55,190",0,NULL
780,"Forest and Conservation Workers","33,690",0,NULL
781,"Eligibility Interviewers, Government Programs","48,570",0,NULL
782,"Agricultural Inspectors","47,430",0,NULL
783,"Forest and Conservation Workers","33,690",0,NULL
784,"Customer Service Representatives","39,070",0,NULL
785,"Public Safety Telecommunicators","47,030",0,NULL
786,"Plasterers and Stucco Masons","54,810",0,NULL
787,"Material Recording, Scheduling, Dispatching, and Distributing Workers","45,710",0,NULL
788,"Reinforcing Iron and Rebar Workers","58,960",0,NULL
789,"Animal Breeders","43,270",0,NULL
790,"Reinforcing Iron and Rebar Workers","58,960",0,NULL
791,"Customer Service Representatives","39,070",0,NULL
792,"Shipping, Receiving, and Inventory Clerks","38,210",0,NULL
793,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","35,270",0,NULL
794,"Animal Breeders","43,270",0,NULL
795,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","39,540",0,NULL
796,Legislators,"57,110",0,NULL
797,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","36,350",0,NULL
798,"Business and Financial Operations Occupations","82,610",0,NULL
799,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","39,540",0,NULL
800,"Computer Network Support Specialists","71,350",0,NULL
801,Helpers--Roofers,"36,000",0,NULL
802,"Helpers, Construction Trades, All Other","37,610",0,NULL
803,"Other Construction and Related Workers","54,670",0,NULL
804,"Construction and Building Inspectors","68,480",0,NULL
805,"Secretaries and Administrative Assistants","45,250",0,NULL
806,"Construction and Building Inspectors","68,480",0,NULL
807,"Secretaries and Administrative Assistants","45,250",0,NULL
808,Carpenters,"55,190",0,NULL
809,"Cargo and Freight Agents","48,420",0,NULL
810,"Elevator and Escalator Installers and Repairers","91,320",0,NULL
811,"Business Operations Specialists","80,380",0,NULL
812,Roofers,"48,890",0,NULL
813,"Executive Secretaries and Executive Administrative Assistants","66,870",0,NULL
814,"Eligibility Interviewers, Government Programs","48,570",0,NULL
815,"Carpet, Floor, and Tile Installers and Finishers","51,890",0,NULL
816,"Graders and Sorters, Agricultural Products","30,400",0,NULL
817,"Construction Laborers","44,130",0,NULL
818,"Graders and Sorters, Agricultural Products","30,400",0,NULL
819,Roofers,"48,890",0,NULL
820,"Miscellaneous Agricultural Workers","31,980",0,NULL
821,"Elevator and Escalator Installers and Repairers","91,320",0,NULL
822,"Agricultural Equipment Operators","36,280",0,NULL
823,"Sheet Metal Workers","58,760",0,NULL
824,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","31,440",0,NULL
825,"Construction Equipment Operators","55,890",0,NULL
826,"Legal Secretaries and Administrative Assistants","52,540",0,NULL
827,"Fence Erectors","41,140",0,NULL
828,"Structural Iron and Steel Workers","61,270",0,NULL
829,"Medical Secretaries and Administrative Assistants","39,740",0,NULL
830,"Solar Photovoltaic Installers","50,710",0,NULL
831,"Tile and Stone Setters","53,330",0,NULL
832,"Solar Photovoltaic Installers","50,710",0,NULL
833,"Cement Masons, Concrete Finishers, and Terrazzo Workers","51,000",0,NULL
834,"Helpers, Construction Trades","37,340",0,NULL
835,"Desktop Publishers","50,930",0,NULL
836,"Property, Real Estate, and Community Association Managers","70,030",0,NULL
837,"Fence Erectors","41,140",0,NULL
838,Tapers,"65,140",0,NULL
839,"Management Occupations","123,370",0,NULL
840,"Carpet Installers","48,710",0,NULL
841,"Insurance Claims and Policy Processing Clerks","45,790",0,NULL
842,"Sheet Metal Workers","58,760",0,NULL
843,"Paving, Surfacing, and Tamping Equipment Operators","50,590",0,NULL
844,Electricians,"63,310",0,NULL
845,"Septic Tank Servicers and Sewer Pipe Cleaners","45,390",0,NULL
846,"Hazardous Materials Removal Workers","49,280",0,NULL
847,"Insurance Claims and Policy Processing Clerks","45,790",0,NULL
848,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","41,080",0,NULL
849,Electricians,"63,310",0,NULL
850,"Septic Tank Servicers and Sewer Pipe Cleaners","45,390",0,NULL
851,"Floor Layers, Except Carpet, Wood, and Hard Tiles","53,880",0,NULL
852,"Mail Clerks and Mail Machine Operators, Except Postal Service","34,390",0,NULL
853,"Pile Driver Operators","75,950",0,NULL
854,Glaziers,"51,950",0,NULL
855,"Other Office and Administrative Support Workers","39,480",0,NULL
856,Glaziers,"51,950",0,NULL
857,"Mail Clerks and Mail Machine Operators, Except Postal Service","34,390",0,NULL
858,"Hazardous Materials Removal Workers","49,280",0,NULL
859,"Office Clerks, General","38,990",0,NULL
860,"Operating Engineers and Other Construction Equipment Operators","56,280",0,NULL
861,"Insulation Workers","50,300",0,NULL
862,"Insulation Workers, Floor, Ceiling, and Wall","44,810",0,NULL
863,"Data Entry and Information Processing Workers","37,590",0,NULL
864,"Miscellaneous Construction and Related Workers","45,370",0,NULL
865,"Highway Maintenance Workers","44,340",0,NULL
866,"Office Clerks, General","38,990",0,NULL
867,"Structural Iron and Steel Workers","61,270",0,NULL
868,"Insulation Workers, Mechanical","56,260",0,NULL
869,"Helpers, Construction Trades","37,340",0,NULL
870,"Data Entry Keyers","35,940",0,NULL
871,"Office Machine Operators, Except Computer","37,110",0,NULL
872,"Drywall Installers, Ceiling Tile Installers, and Tapers","56,160",0,NULL
873,"Office Machine Operators, Except Computer","37,110",0,NULL
874,"Miscellaneous Construction and Related Workers","45,370",0,NULL
875,"Highway Maintenance Workers","44,340",0,NULL
876,"Cement Masons and Concrete Finishers","50,900",0,NULL
877,"Word Processors and Typists","43,370",0,NULL
878,"Extraction Workers","51,900",0,NULL
879,"Drywall and Ceiling Tile Installers","54,810",0,NULL
880,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","43,370",0,NULL
881,"Rail-Track Laying and Maintenance Equipment Operators","60,770",0,NULL
882,"Painters and Paperhangers","47,180",0,NULL
883,"Desktop Publishers","50,930",0,NULL
884,"Terrazzo Workers and Finishers","58,380",0,NULL
885,"Floor Sanders and Finishers","44,380",0,NULL
886,"Shipping, Receiving, and Inventory Clerks","38,210",0,NULL
887,"Rail-Track Laying and Maintenance Equipment Operators","60,770",0,NULL
888,Helpers--Carpenters,"37,340",0,NULL
889,"Painters, Construction and Maintenance","47,140",0,NULL
890,"First-Line Supervisors of Mechanics, Installers, and Repairers","73,590",0,NULL
891,"Construction Laborers","44,130",0,NULL
892,"Helpers--Extraction Workers","40,860",0,NULL
893,"Proofreaders and Copy Markers","46,010",0,NULL
894,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers","57,260",0,NULL
895,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas","56,460",0,NULL
896,"Automotive Glass Installers and Repairers","40,690",0,NULL
897,"Computer, Automated Teller, and Office Machine Repairers","44,170",0,NULL
898,Helpers--Electricians,"36,720",0,NULL
899,"Locksmiths and Safe Repairers","47,810",0,NULL
900,"Proofreaders and Copy Markers","46,010",0,NULL
901,"Excavating and Loading Machine and Dragline Operators, Surface Mining","49,850",0,NULL
902,"Derrick Operators, Oil and Gas","52,140",0,NULL
903,"Office and Administrative Support Workers, All Other","42,580",0,NULL
904,"Automotive Service Technicians and Mechanics","47,990",0,NULL
905,Paperhangers,"51,560",0,NULL
906,"Computer, Automated Teller, and Office Machine Repairers","44,170",0,NULL
907,"Statistical Assistants","53,420",0,NULL
908,"Manufactured Building and Mobile Home Installers","35,830",0,NULL
909,"Pipelayers, Plumbers, Pipefitters, and Steamfitters","62,250",0,NULL
910,"Earth Drillers, Except Oil and Gas","53,600",0,NULL
911,"Rotary Drill Operators, Oil and Gas","61,840",0,NULL
912,"Miscellaneous Extraction Workers","50,960",0,NULL
913,"Farming, Fishing, and Forestry Occupations","34,730",0,NULL
914,"Bus and Truck Mechanics and Diesel Engine Specialists","53,020",0,NULL
915,"Radio and Telecommunications Equipment Installers and Repairers","60,510",0,NULL
916,Riggers,"52,100",0,NULL
917,"Explosives Workers, Ordnance Handling Experts, and Blasters","57,070",0,NULL
918,"Bus and Truck Mechanics and Diesel Engine Specialists","53,020",0,NULL
919,"Radio, Cellular, and Tower Equipment Installers and Repairers","62,500",0,NULL
920,"Statistical Assistants","53,420",0,NULL
921,"Signal and Track Switch Repairers","74,220",0,NULL
922,"Roustabouts, Oil and Gas","44,730",0,NULL
923,"Telecommunications Equipment Installers and Repairers, Except Line Installers","60,350",0,NULL
924,"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics","55,900",0,NULL
925,"Service Unit Operators, Oil and Gas","55,660",0,NULL
926,"Explosives Workers, Ordnance Handling Experts, and Blasters","57,070",0,NULL
927,"Coin, Vending, and Amusement Machine Servicers and Repairers","42,010",0,NULL
928,"Helpers--Installation, Maintenance, and Repair Workers","35,090",0,NULL
929,"Miscellaneous Office and Administrative Support Workers","42,580",0,NULL
930,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","59,590",0,NULL
931,"Automotive Technicians and Repairers","48,310",0,NULL
932,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","47,100",0,NULL
933,"Underground Mining Machine Operators","57,920",0,NULL
934,"Surface Mining Machine Operators and Earth Drillers","51,000",0,NULL
935,"Farm Equipment Mechanics and Service Technicians","47,250",0,NULL
936,"Helpers--Extraction Workers","40,860",0,NULL
937,"Installation, Maintenance, and Repair Workers, All Other","45,380",0,NULL
938,"Mobile Heavy Equipment Mechanics, Except Engines","57,280",0,NULL
939,"Extraction Workers, All Other","50,960",0,NULL
940,Machinists,"49,020",0,NULL
941,"Installation, Maintenance, and Repair Occupations","53,380",0,NULL
942,"Rail Car Repairers","60,400",0,NULL
943,"Commercial Divers","82,010",0,NULL
944,"Production Occupations","43,070",0,NULL
945,"Supervisors of Installation, Maintenance, and Repair Workers","73,590",0,NULL
946,"Automotive Body and Related Repairers","50,660",0,NULL
947,"First-Line Supervisors of Mechanics, Installers, and Repairers","73,590",0,NULL
948,"Assemblers and Fabricators","39,000",0,NULL
949,Machinists,"49,020",0,NULL
950,"Maintenance and Repair Workers, General","44,920",0,NULL
951,"Supervisors of Production Workers","67,330",0,NULL
952,"Model Makers, Metal and Plastic","59,080",0,NULL
953,"Metal Furnace Operators, Tenders, Pourers, and Casters","45,990",0,NULL
954,"Audiovisual Equipment Installers and Repairers","46,120",0,NULL
955,"Small Engine Mechanics","42,690",0,NULL
956,"Rock Splitters, Quarry","41,630",0,NULL
957,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","55,380",0,NULL
958,"First-Line Supervisors of Production and Operating Workers","67,330",0,NULL
959,"Outdoor Power Equipment and Other Small Engine Mechanics","40,360",0,NULL
960,"Maintenance and Repair Workers, General","44,920",0,NULL
961,"Metal-Refining Furnace Operators and Tenders","46,440",0,NULL
962,"Security and Fire Alarm Systems Installers","52,170",0,NULL
963,"Avionics Technicians","69,860",0,NULL
964,"Patternmakers, Metal and Plastic","49,840",0,NULL
965,"Wind Turbine Service Technicians","58,580",0,NULL
966,"Electric Motor, Power Tool, and Related Repairers","48,740",0,NULL
967,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","55,380",0,NULL
968,"Motorboat Mechanics and Service Technicians","46,660",0,NULL
969,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","34,340",0,NULL
970,"First-Line Supervisors of Production and Operating Workers","67,330",0,NULL
971,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","50,400",0,NULL
972,"Rock Splitters, Quarry","41,630",0,NULL
973,"Medical Equipment Repairers","56,420",0,NULL
974,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic","37,720",0,NULL
975,"Continuous Mining Machine Operators","57,430",0,NULL
976,"Electrical, Electronics, and Electromechanical Assemblers","39,740",0,NULL
977,"Wind Turbine Service Technicians","58,580",0,NULL
978,"Pourers and Casters, Metal","44,910",0,NULL
979,"Foundry Mold and Coremakers","39,980",0,NULL
980,"Electrical and Electronics Installers and Repairers, Transportation Equipment","70,650",0,NULL
981,"Aircraft Mechanics and Service Technicians","69,470",0,NULL
982,"Roustabouts, Oil and Gas","44,730",0,NULL
983,"Roof Bolters, Mining","59,170",0,NULL
984,"Coil Winders, Tapers, and Finishers","42,460",0,NULL
985,"Musical Instrument Repairers and Tuners","39,740",0,NULL
986,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","39,630",0,NULL
987,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","64,230",0,NULL
988,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","37,530",0,NULL
989,"Engine and Other Machine Assemblers","48,110",0,NULL
990,"Watch and Clock Repairers","45,460",0,NULL
991,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","40,830",0,NULL
992,"Loading and Moving Machine Operators, Underground Mining","57,330",0,NULL
993,"Miscellaneous Installation, Maintenance, and Repair Workers","43,710",0,NULL
994,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","87,640",0,NULL
995,"Engine and Other Machine Assemblers","48,110",0,NULL
996,"Aircraft Mechanics and Service Technicians","69,470",0,NULL
997,"Model Makers and Patternmakers, Metal and Plastic","55,740",0,NULL
998,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","40,830",0,NULL
999,"Precision Instrument and Equipment Repairers, All Other","59,070",0,NULL
1000,"Tool and Die Makers","56,150",0,NULL
1001,"Structural Metal Fabricators and Fitters","45,730",0,NULL
1002,"Motorcycle Mechanics","41,970",0,NULL
1003,"Recreational Vehicle Service Technicians","44,930",0,NULL
1004,"Electronic Equipment Installers and Repairers, Motor Vehicles","43,690",0,NULL
1005,"Structural Metal Fabricators and Fitters","45,730",0,NULL
1006,"Underground Mining Machine Operators, All Other","60,290",0,NULL
1007,"Fiberglass Laminators and Fabricators","40,360",0,NULL
